Using dt = 10 seconds, T = 0.25 years
Initializing waveform generator...
Creating GenerateEMRIWaveform class...
Done initializing waveform generator.
Creating GravWaveAnalysis class...
Initializing loglike class...
Done initializing loglike class.
Calculating SNR...
SNR calculated: 5.942134448355127
Setting up log_density and prior functions...
Done setting up log-likelihood and prior.
Setting up ParisMC sampler...
Done setting up ParisMC sampler.
Setting up initial covariance matrix...
Done setting up initial covariance matrix.
Initializing sampler...
Done initializing sampler.
Starting point (phys): [6.03302293, 1.12261954, 0.69265393, 9.04744717, 0.31691929]
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68870.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68871.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68872.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68873.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68874.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68875.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68876.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68877.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68878.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68879.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68880.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68881.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68882.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68883.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68884.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68885.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68886.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68887.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68888.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68889.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68890.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68891.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68892.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68893.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68894.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68895.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68896.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68897.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68898.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68899.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68900.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68901.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68902.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68903.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68904.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68905.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68906.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68907.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68908.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68909.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68910.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68911.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68912.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68913.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68914.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68915.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68916.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68917.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68918.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68919.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68920.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68921.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68922.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68923.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68924.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68925.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68926.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68927.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68928.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68929.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68930.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68931.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68932.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68933.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68934.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68935.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68936.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68937.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68938.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68939.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68940.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68941.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68942.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68943.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68944.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68945.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68946.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68947.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68948.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68949.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68950.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68951.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68952.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68953.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68954.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68955.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68956.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68957.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68958.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68959.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68960.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68961.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68962.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68963.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68964.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68965.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68966.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68967.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68968.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68969.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68970.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68971.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68972.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68973.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68974.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68975.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68976.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68977.
[Anneal11] Stuck 10000 iters at S=100 (final stage). Stopping at iter 68978.
